species,speed,irrigation,position x,position y,value
Philodendron hederaceum & Philodendron erubescens,fast,before,c,1,0.044
Philodendron hederaceum & Philodendron erubescens,fast,before,d,1,0.047
Philodendron hederaceum & Philodendron erubescens,fast,before,a,2,0.05
Philodendron hederaceum & Philodendron erubescens,fast,before,b,2,0.066
Philodendron hederaceum & Philodendron erubescens,fast,before,c,2,0.062
Philodendron hederaceum & Philodendron erubescens,fast,before,d,2,0.037
Philodendron hederaceum & Philodendron erubescens,fast,before,a,3,0.093
Philodendron hederaceum & Philodendron erubescens,fast,before,b,3,0.009
Philodendron hederaceum & Philodendron erubescens,fast,before,c,3,0.058
Philodendron hederaceum & Philodendron erubescens,fast,before,d,3,0.039
Philodendron hederaceum & Philodendron erubescens,fast,before,a,4,0.13
Philodendron hederaceum & Philodendron erubescens,fast,before,b,4,0.127
Philodendron hederaceum & Philodendron erubescens,fast,before,c,4,0.101
Philodendron hederaceum & Philodendron erubescens,fast,before,d,4,0.093
Philodendron hederaceum & Philodendron erubescens,fast,before,a,1,0.038
Philodendron hederaceum & Philodendron erubescens,fast,before,b,1,0.046
Philodendron hederaceum & Philodendron erubescens,fast,before,c,1,0.06
Philodendron hederaceum & Philodendron erubescens,fast,before,d,1,0.044
Philodendron hederaceum & Philodendron erubescens,fast,before,a,2,0.032
Philodendron hederaceum & Philodendron erubescens,fast,before,b,2,0.068
Philodendron hederaceum & Philodendron erubescens,fast,before,c,2,0.069
Philodendron hederaceum & Philodendron erubescens,fast,before,d,2,0.057
Philodendron hederaceum & Philodendron erubescens,fast,before,a,3,0.034
Philodendron hederaceum & Philodendron erubescens,fast,before,b,3,0.073
Philodendron hederaceum & Philodendron erubescens,fast,before,c,3,0.083
Philodendron hederaceum & Philodendron erubescens,fast,before,d,3,0.083
Philodendron hederaceum & Philodendron erubescens,fast,before,a,4,0.057
Philodendron hederaceum & Philodendron erubescens,fast,before,b,4,0.086
Philodendron hederaceum & Philodendron erubescens,fast,before,c,4,0.132
Philodendron hederaceum & Philodendron erubescens,fast,before,d,4,0.11
Philodendron hederaceum & Philodendron erubescens,fast,before,a,1,0.044
Philodendron hederaceum & Philodendron erubescens,fast,before,b,1,0.064
Philodendron hederaceum & Philodendron erubescens,fast,before,c,1,0.05
Philodendron hederaceum & Philodendron erubescens,fast,before,d,1,0.034
Philodendron hederaceum & Philodendron erubescens,fast,before,a,2,0.07
Philodendron hederaceum & Philodendron erubescens,fast,before,b,2,0.068
Philodendron hederaceum & Philodendron erubescens,fast,before,c,2,0.053
Philodendron hederaceum & Philodendron erubescens,fast,before,d,2,0.028
Philodendron hederaceum & Philodendron erubescens,fast,before,a,3,0.06
Philodendron hederaceum & Philodendron erubescens,fast,before,b,3,0.054
Philodendron hederaceum & Philodendron erubescens,fast,before,c,3,0.033
Philodendron hederaceum & Philodendron erubescens,fast,before,d,3,0.028
Philodendron hederaceum & Philodendron erubescens,fast,before,a,4,0.072
Philodendron hederaceum & Philodendron erubescens,fast,before,b,4,0.091
Philodendron hederaceum & Philodendron erubescens,fast,before,c,4,0.088
Philodendron hederaceum & Philodendron erubescens,fast,before,d,4,0.064
Peperomia obtusifolia,fast,before,a,1,0.04
Peperomia obtusifolia,fast,before,b,1,0.067
Peperomia obtusifolia,fast,before,c,1,0.025
Peperomia obtusifolia,fast,before,d,1,0.03
Peperomia obtusifolia,fast,before,a,2,0.062
Peperomia obtusifolia,fast,before,b,2,0.07
Peperomia obtusifolia,fast,before,c,2,0.059
Peperomia obtusifolia,fast,before,d,2,0.041
Peperomia obtusifolia,fast,before,a,3,0.091
Peperomia obtusifolia,fast,before,b,3,0.106
Peperomia obtusifolia,fast,before,c,3,0.138
Peperomia obtusifolia,fast,before,d,3,0.09
Peperomia obtusifolia,fast,before,a,4,0.112
Peperomia obtusifolia,fast,before,b,4,0.118
Peperomia obtusifolia,fast,before,c,4,0.138
Peperomia obtusifolia,fast,before,d,4,0.083
Peperomia obtusifolia,fast,before,a,1,0.056
Peperomia obtusifolia,fast,before,b,1,0.072
Peperomia obtusifolia,fast,before,c,1,0.083
Peperomia obtusifolia,fast,before,d,1,0.033
Peperomia obtusifolia,fast,before,a,2,0.074
Peperomia obtusifolia,fast,before,b,2,0.109
Peperomia obtusifolia,fast,before,c,2,0.088
Peperomia obtusifolia,fast,before,d,2,0.072
Peperomia obtusifolia,fast,before,a,3,0.114
Peperomia obtusifolia,fast,before,b,3,0.083
Peperomia obtusifolia,fast,before,c,3,0.121
Peperomia obtusifolia,fast,before,d,3,0.097
Peperomia obtusifolia,fast,before,a,4,0.085
Peperomia obtusifolia,fast,before,b,4,0.125
Peperomia obtusifolia,fast,before,c,4,0.133
Peperomia obtusifolia,fast,before,d,4,0.092
Peperomia obtusifolia,fast,before,a,1,0.067
Peperomia obtusifolia,fast,before,b,1,0.096
Peperomia obtusifolia,fast,before,c,1,0.077
Peperomia obtusifolia,fast,before,d,1,0.067
Peperomia obtusifolia,fast,before,a,2,0.103
Peperomia obtusifolia,fast,before,b,2,0.136
Peperomia obtusifolia,fast,before,c,2,0.137
Peperomia obtusifolia,fast,before,d,2,0.137
Peperomia obtusifolia,fast,before,a,3,0.115
Peperomia obtusifolia,fast,before,b,3,0.14
Peperomia obtusifolia,fast,before,c,3,0.173
Peperomia obtusifolia,fast,before,d,3,0.139
Peperomia obtusifolia,fast,before,a,4,0.127
Peperomia obtusifolia,fast,before,b,4,0.165
Peperomia obtusifolia,fast,before,c,4,0.209
Peperomia obtusifolia,fast,before,d,4,0.123
Substrate only,fast,after,a,1,0.108
Substrate only,fast,after,b,1,0.166
Substrate only,fast,after,c,1,0.132
Substrate only,fast,after,d,1,0.155
Substrate only,fast,after,a,2,0.129
Substrate only,fast,after,b,2,0.265
Substrate only,fast,after,c,2,0.206
Substrate only,fast,after,d,2,0.232
Substrate only,fast,after,a,3,0.216
Substrate only,fast,after,b,3,0.242
Substrate only,fast,after,c,3,0.282
Substrate only,fast,after,d,3,0.194
Substrate only,fast,after,a,4,0.245
Substrate only,fast,after,b,4,0.278
Substrate only,fast,after,c,4,0.228
Substrate only,fast,after,d,4,0.188
Substrate only,fast,after,a,1,0.058
Substrate only,fast,after,b,1,0.021
Substrate only,fast,after,c,1,0.049
Substrate only,fast,after,d,1,0.02
Substrate only,fast,after,a,2,0.037
Substrate only,fast,after,b,2,0.181
Substrate only,fast,after,c,2,0.183
Substrate only,fast,after,d,2,0.253
Substrate only,fast,after,a,3,0.256
Substrate only,fast,after,b,3,0.182
Substrate only,fast,after,c,3,0.239
Substrate only,fast,after,d,3,0.108
Substrate only,fast,after,a,4,0.245
Substrate only,fast,after,b,4,0.269
Substrate only,fast,after,c,4,0.281
Substrate only,fast,after,d,4,0.291
Substrate only,fast,after,a,1,0.239
Substrate only,fast,after,b,1,0.185
Substrate only,fast,after,c,1,0.255
Substrate only,fast,after,d,1,0.071
Substrate only,fast,after,a,2,0.115
Substrate only,fast,after,b,2,0.254
Substrate only,fast,after,c,2,0.269
Substrate only,fast,after,d,2,0.275
Substrate only,fast,after,a,3,0.269
Substrate only,fast,after,b,3,0.128
Substrate only,fast,after,c,3,0.302
Substrate only,fast,after,d,3,0.24
Substrate only,fast,after,a,4,0.254
Substrate only,fast,after,b,4,0.263
Substrate only,fast,after,c,4,0.283
Substrate only,fast,after,d,4,0.245
Spathiphyllum wallisii ,fast,after,a,1,0.111
Spathiphyllum wallisii ,fast,after,b,1,0.02
Spathiphyllum wallisii ,fast,after,c,1,0.027
Spathiphyllum wallisii ,fast,after,d,1,0.127
